t,x,y,z
37,-4.92314,38.1182,5.1578
37.1,-5.0929,37.728,5.09608
37.2,-5.25774,37.3331,5.03326
37.3,-5.41768,36.9336,4.96939
37.4,-5.57273,36.5296,4.90449
37.5,-5.72291,36.1213,4.83859
37.6,-5.86824,35.7087,4.77173
37.7,-6.00875,35.2921,4.70394
37.8,-6.14446,34.8714,4.63526
37.9,-6.2754,34.447,4.56572
38,-6.4016,34.0188,4.49536
38.1,-6.52311,33.587,4.42421
38.2,-6.63995,33.1519,4.35232
38.3,-6.75217,32.7134,4.27974
38.4,-6.85981,32.2718,4.20649
38.5,-6.96292,31.8272,4.13263
38.6,-7.06155,31.3798,4.0582
38.7,-7.15576,30.9297,3.98324
38.8,-7.2456,30.477,3.90782
38.9,-7.33113,30.022,3.83196
39,-7.41241,29.5647,3.75573
39.1,-7.48952,29.1055,3.67918
39.2,-7.56252,28.6443,3.60236
39.3,-7.63149,28.1814,3.52532
39.4,-7.69649,27.717,3.44813
39.5,-7.75763,27.2511,3.37083
39.6,-7.81496,26.7841,3.29349
39.7,-7.86859,26.3161,3.21617
39.8,-7.91861,25.8473,3.13893
39.9,-7.96511,25.3778,3.06184
40,-8.00818,24.9079,2.98495
40.1,-8.04793,24.4376,2.90834
40.2,-8.08446,23.9674,2.83207
40.3,-8.11789,23.4972,2.75622
40.4,-8.14832,23.0273,2.68084
40.5,-8.17587,22.558,2.60603
40.6,-8.20065,22.0894,2.53184
40.7,-8.22279,21.6217,2.45835
40.8,-8.24241,21.1552,2.38564
40.9,-8.25963,20.6899,2.31378
41,-8.27458,20.2262,2.24285
41.1,-8.28739,19.7643,2.17293
41.2,-8.29819,19.3043,2.10408
41.3,-8.3071,18.8465,2.03639
41.4,-8.31427,18.391,1.96994
41.5,-8.31982,17.9382,1.9048
41.6,-8.32389,17.4881,1.84105
41.7,-8.32661,17.041,1.77876
41.8,-8.32811,16.597,1.71802
41.9,-8.32854,16.1565,1.6589
42,-8.32803,15.7196,1.60148
42.1,-8.3267,15.2865,1.54582
42.2,-8.3247,14.8573,1.49202
42.3,-8.32216,14.4324,1.44013
42.4,-8.31921,14.0118,1.39024
42.5,-8.31597,13.5958,1.3424
42.6,-8.31259,13.1846,1.29671
42.7,-8.30918,12.7783,1.25322
42.8,-8.30587,12.3771,1.212
42.9,-8.3028,11.9813,1.17312
43,-8.30007,11.5909,1.13664
43.1,-8.29781,11.2062,1.10263
43.2,-8.29613,10.8272,1.07115
43.3,-8.29515,10.4543,1.04225
43.4,-8.29499,10.0875,1.016
43.5,-8.29574,9.7269,0.992455
43.6,-8.29751,9.37277,0.971658
43.7,-8.3004,9.0252,0.953665
43.8,-8.30452,8.68432,0.938523
43.9,-8.30994,8.35027,0.926279
44,-8.31677,8.02316,0.916974
44.1,-8.32507,7.70312,0.910649
44.2,-8.33494,7.39024,0.907341
44.3,-8.34645,7.08462,0.907084
44.4,-8.35966,6.78638,0.909908
44.5,-8.37464,6.49558,0.915842
44.6,-8.39145,6.21231,0.924909
44.7,-8.41014,5.93665,0.937129
44.8,-8.43076,5.66865,0.952521
44.9,-8.45334,5.40836,0.971098
45,-8.47792,5.15585,0.992868
45.1,-8.50453,4.91113,1.01784
45.2,-8.53319,4.67425,1.04601
45.3,-8.56391,4.44521,1.07738
45.4,-8.59669,4.22404,1.11194
45.5,-8.63155,4.01073,1.14969
45.6,-8.66846,3.80526,1.1906
45.7,-8.70742,3.60763,1.23465
45.8,-8.74839,3.41779,1.28183
45.9,-8.79135,3.23571,1.33209
46,-8.83625,3.06134,1.38541
46.1,-8.88304,2.8946,1.44175
46.2,-8.93167,2.73543,1.50106
46.3,-8.98206,2.58374,1.56329
46.4,-9.03415,2.43943,1.62838
46.5,-9.08784,2.30239,1.69628
46.6,-9.14303,2.17249,1.76692
46.7,-9.19963,2.04961,1.84023
46.8,-9.25751,1.93358,1.91612
46.9,-9.31654,1.82426,1.99452
47,-9.3766,1.72146,2.07533
47.1,-9.43753,1.625,2.15846
47.2,-9.49917,1.53467,2.24381
47.3,-9.56136,1.45026,2.33127
47.4,-9.6239,1.37154,2.42071
47.5,-9.68662,1.29827,2.51203
47.6,-9.7493,1.23017,2.60509
47.7,-9.81173,1.16699,2.69975
47.8,-9.87368,1.10842,2.79589
47.9,-9.93491,1.05418,2.89333
48,-9.99515,1.00392,2.99194
48.1,-10.0542,0.957321,3.09154
48.2,-10.1116,0.914027,3.19197
48.3,-10.1673,0.873671,3.29304
48.4,-10.2209,0.83587,3.39458
48.5,-10.272,0.800231,3.49639
48.6,-10.3203,0.766346,3.59828
48.7,-10.3656,0.733801,3.70005
48.8,-10.4075,0.702167,3.80149
48.9,-10.4456,0.671012,3.9024
49,-10.4796,0.639893,4.00255
49.1,-10.5091,0.608361,4.10175
49.2,-10.5338,0.575966,4.19977
49.3,-10.5534,0.542249,4.2964
49.4,-10.5674,0.506751,4.3914
49.5,-10.5755,0.469012,4.48457
49.6,-10.5773,0.428569,4.57568
49.7,-10.5725,0.384962,4.66451
49.8,-10.5608,0.337733,4.75084
49.9,-10.5418,0.286424,4.83445
50,-10.5151,0.230583,4.91512
50.1,-10.4804,0.169764,4.99265
50.2,-10.4374,0.103526,5.0668
50.3,-10.3857,0.0314352,5.13739
50.4,-10.3251,-0.046933,5.20419
50.5,-10.2552,-0.131994,5.26702
50.6,-10.1757,-0.224152,5.32567
50.7,-10.0864,-0.323799,5.37995
50.8,-9.98701,-0.431315,5.42968
50.9,-9.87722,-0.547066,5.47468
51,-9.75682,-0.671401,5.51477
51.1,-9.62559,-0.804655,5.5498
51.2,-9.48331,-0.947142,5.5796
51.3,-9.32981,-1.09916,5.60402
51.4,-9.16491,-1.26099,5.62293
51.5,-8.98846,-1.43289,5.63619
51.6,-8.80032,-1.61508,5.64369
51.7,-8.6004,-1.8078,5.64531
51.8,-8.38861,-2.01121,5.64095
51.9,-8.16488,-2.22548,5.63053
52,-7.92919,-2.45075,5.61396
52.1,-7.68152,-2.68713,5.59119
52.2,-7.42188,-2.93469,5.56216
52.3,-7.15034,-3.19349,5.52684
