t,x,y,z
42.8,10.7517,-7.87643,-6.98148
42.9,11.0593,-8.58392,-7.14647
43,11.3361,-9.25337,-7.29587
43.1,11.5817,-9.88441,-7.42954
43.2,11.7959,-10.4767,-7.54734
43.3,11.9782,-11.0299,-7.64917
43.4,12.1286,-11.5439,-7.73491
43.5,12.2467,-12.0183,-7.80451
43.6,12.3324,-12.4531,-7.85789
43.7,12.3855,-12.8481,-7.89503
43.8,12.4061,-13.2033,-7.9159
43.9,12.394,-13.5187,-7.92051
44,12.3493,-13.7943,-7.90888
44.1,12.272,-14.0301,-7.88106
44.2,12.1623,-14.2265,-7.8371
44.3,12.0203,-14.3834,-7.7771
44.4,11.8462,-14.5013,-7.70117
44.5,11.6404,-14.5803,-7.60942
44.6,11.403,-14.6209,-7.50202
44.7,11.1345,-14.6234,-7.37914
44.8,10.8352,-14.5883,-7.24097
44.9,10.5057,-14.5161,-7.08773
45,10.1464,-14.4074,-6.91966
45.1,9.75797,-14.2628,-6.73702
45.2,9.34094,-14.083,-6.5401
45.3,8.896,-13.8687,-6.32921
45.4,8.42387,-13.6206,-6.10466
45.5,7.92531,-13.3397,-5.86681
45.6,7.40115,-13.0268,-5.61604
45.7,6.85226,-12.6829,-5.35273
45.8,6.27954,-12.3088,-5.0773
45.9,5.68396,-11.9058,-4.79019
46,5.06654,-11.4748,-4.49185
46.1,4.42834,-11.017,-4.18275
46.2,3.77045,-10.5336,-3.86341
46.3,3.09404,-10.0258,-3.53433
46.4,2.40029,-9.49494,-3.19604
46.5,1.69043,-8.94229,-2.84911
46.6,0.965761,-8.36924,-2.4941
46.7,0.227583,-7.77719,-2.1316
46.8,-0.522744,-7.16759,-1.76221
46.9,-1.28383,-6.54193,-1.38657
47,-2.05424,-5.90173,-1.0053
47.1,-2.83253,-5.24855,-0.619055
47.2,-3.61719,-4.58396,-0.228504
47.3,-4.40672,-3.9096,0.16568
47.4,-5.19956,-3.22711,0.562806
47.5,-5.99415,-2.53816,0.962176
47.6,-6.78889,-1.84444,1.36308
47.7,-7.58218,-1.14767,1.7648
47.8,-8.37239,-0.449572,2.16661
47.9,-9.15788,0.248108,2.56779
48,-9.937,0.943616,2.96759
48.1,-10.7081,1.63519,3.36527
48.2,-11.4695,2.32107,3.7601
48.3,-12.2196,2.99948,4.15134
48.4,-12.9567,3.66866,4.53824
48.5,-13.6791,4.32687,4.92006
48.6,-14.3853,4.97236,5.29607
48.7,-15.0736,5.60339,5.66555
48.8,-15.7424,6.21826,6.02778
48.9,-16.3901,6.8153,6.38203
49,-17.0151,7.39283,6.72762
49.1,-17.6161,7.94923,7.06385
49.2,-18.1914,8.48292,7.39006
49.3,-18.7396,8.99236,7.70558
49.4,-19.2594,9.47602,8.00978
49.5,-19.7493,9.93248,8.30203
49.6,-20.2081,10.3603,8.58175
49.7,-20.6346,10.7582,8.84836
49.8,-21.0276,11.1248,9.1013
49.9,-21.3859,11.459,9.34007
50,-21.7085,11.7597,9.56416
50.1,-21.9945,12.0256,9.77311
50.2,-22.2429,12.2559,9.96649
50.3,-22.453,12.4497,10.1439
50.4,-22.6239,12.6061,10.305
50.5,-22.7552,12.7243,10.4494
50.6,-22.8462,12.8039,10.5769
50.7,-22.8964,12.8441,10.6872
50.8,-22.9055,12.8446,10.7801
50.9,-22.8733,12.8051,10.8555
51,-22.7996,12.7252,10.9131
51.1,-22.6844,12.6049,10.953
51.2,-22.5276,12.4441,10.975
51.3,-22.3295,12.2429,10.9793
51.4,-22.0904,12.0016,10.9658
51.5,-21.8105,11.7204,10.9346
51.6,-21.4905,11.3998,10.886
51.7,-21.1309,11.0402,10.82
51.8,-20.7325,10.6425,10.737
51.9,-20.2961,10.2072,10.6372
52,-19.8226,9.73547,10.521
52.1,-19.3132,9.22815,10.3888
52.2,-18.7689,8.6864,10.2409
52.3,-18.1912,8.11146,10.078
52.4,-17.5813,7.50469,9.90042
52.5,-16.9408,6.86754,9.70885
52.6,-16.2714,6.20157,9.50387
52.7,-15.5746,5.50847,9.28616
52.8,-14.8524,4.79,9.05642
52.9,-14.1066,4.04804,8.81539
53,-13.3393,3.28455,8.56386
53.1,-12.5525,2.50157,8.30265
53.2,-11.7483,1.70126,8.03262
53.3,-10.9291,0.885808,7.75466
53.4,-10.0972,0.0575152,7.46969
53.5,-9.25482,-0.781273,7.17866
53.6,-8.4045,-1.62815,6.88254
53.7,-7.54867,-2.48066,6.58233
53.8,-6.68986,-3.33631,6.27905
53.9,-5.83061,-4.19256,5.97371
54,-4.97348,-5.04687,5.66737
54.1,-4.12103,-5.89667,5.36107
54.2,-3.27585,-6.7394,5.05585
54.3,-2.44048,-7.5725,4.75278
54.4,-1.61746,-8.39344,4.45288
54.5,-0.809286,-9.19972,4.15718
54.6,-0.0184071,-9.98889,3.86671
54.7,0.752796,-10.7586,3.58244
54.8,1.50202,-11.5065,3.30534
54.9,2.22706,-12.2303,3.03633
55,2.92581,-12.9281,2.77629
55.1,3.59631,-13.5977,2.52606
55.2,4.23673,-14.2374,2.28642
55.3,4.84541,-14.8455,2.05808
55.4,5.42087,-15.4206,1.84169
55.5,5.96185,-15.9612,1.63781
55.6,6.46728,-16.4664,1.44692
55.7,6.93635,-16.9353,1.2694
55.8,7.36854,-17.3674,1.10554
55.9,7.76357,-17.7624,0.955487
56,8.1215,-18.1204,0.819303
56.1,8.44267,-18.4416,0.696907
56.2,8.72775,-18.7268,0.588095
56.3,8.97777,-18.9769,0.492532
56.4,9.19405,-19.1933,0.409752
56.5,9.37825,-19.3776,0.33916
56.6,9.53233,-19.5318,0.280036
56.7,9.65856,-19.6582,0.231546
